Vessel Name,Voyage,Local Voyage,Service,ETA,ETD,Terminal,Cargo Volume,Expected Duration (hours),"Weather (0=dry,1=wet)"
SINAR SOLO,094KIS,1013W,GAF Central Vietnam service (CVS) (UIH1),1/10/2023 17:30,2/10/2023 17:30,PSA TERMINAL,515,24.0,0
SUMBER JAYA 22,W026FN,QB362,South East Asia Feeder 1 (SEASIA1),1/10/2023 18:25,1/10/2023 19:25,PSA TERMINAL,21,1.0,1
MTT SIBU,6011YN,J061S,South East Asia Feeder 2 (SEASIA2),1/10/2023 20:00,2/10/2023 10:00,PSA TERMINAL,296,14.0,0
CAPE FELTON,23S2XE,006W,South East Asia Feeder 9 (SEASIA9),1/10/2023 21:30,2/10/2023 15:30,PSA TERMINAL,320,18.0,0
CMA CGM MUSCA,0PPG4W1MA,0PPG4W1MA,Pacific East Coast 2 (PEX2),2/10/2023 0:00,3/10/2023 14:00,PSA TERMINAL,799,38.0,0
CAPRICORN 57,W086FN,MB063,South East Asia Feeder 1 (SEASIA1),2/10/2023 4:00,2/10/2023 5:00,PSA TERMINAL,22,1.0,1
MARCOPOLO 118,13S55R,323,Feeder of IDTTI to SGSIN (TTIAPL),2/10/2023 4:15,2/10/2023 6:15,PSA TERMINAL,39,2.0,0
GULF TBN 10,296DJW,,FAS Oman Container Fex Line (GULFFEX),2/10/2023 5:17,3/10/2023 1:17,PSA TERMINAL,421,20.0,0
EVER URANUS,530D7E,161E,PORT KELANG MUNDRA COLOMBO SERVICE (C3MAPL),2/10/2023 6:59,3/10/2023 6:59,PSA TERMINAL,500,24.0,0
MARCOPOLO 3022,5188AR,PS029,South East Asia Feeder 49 (SEASIA49),2/10/2023 10:30,3/10/2023 6:30,PSA TERMINAL,355,20.0,0
SEASPAN LUMACO,1078ER,338N,South East Asia Feeder 67 (SEASIA67),2/10/2023 13:00,3/10/2023 11:00,PSA TERMINAL,485,22.0,1
SINAR SIGLI,477C3N,013S,GAF Bangladesh Feeder BGDX3 (BGDFX3),2/10/2023 14:45,3/10/2023 16:45,PSA TERMINAL,528,26.0,1
SINAR SANUR,93356S,028N,Semarang Feeder Service (SRGAPL),2/10/2023 15:52,3/10/2023 15:52,PSA TERMINAL,507,24.0,0
CAPRICORN 59,W206FN,RB700,South East Asia Feeder 1 (SEASIA1),2/10/2023 15:35,2/10/2023 16:35,PSA TERMINAL,23,1.0,1
SELATAN DAMAI,C283DS,0031S,SGSIN MYPGU SGSIN Service (PGU1APL),2/10/2023 17:00,2/10/2023 18:00,PSA TERMINAL,19,1.0,1
INFINITI 5,U4T1YS,H3K01S,South East Asia Feeder 2 (SEASIA2),2/10/2023 19:00,2/10/2023 22:00,PSA TERMINAL,59,3.0,1
